Name,magic
"Syr Vondam, the Lucent",Multicolor,Legendary Creature,0.15
Dustox,Pokemon,Grass,0.15
"Alpharael, Dreaming Acolyte",Multicolor,Legendary Creature,0.07
Stone Quarry,Multicolor,Land,0.07
"Tiana, Ship's Caretaker",Multicolor,Legendary Creature,0.16
Spineseeker Centipede,Green,Creature,0.10
Shrine Steward,Color-Less,Artifact Creature,0.30
"Akroma, Vision of Ixidor",White,Legendary Creature,10.17
Futurist Operative,Blue,Creature,0.07
Expedite,Red,Instant,1.29
Ironclad Slayer,White,Creature,0.18
